Ten phong ban,Ma nhan vien,Ho ten nhan vien,Ngay sinh,Gioi tinh,Luong co ban,Tuoi,Luong moi,Ghi chu,Chuc vu
Ky thuat,NV05285,Ha Van Tran,1982-12-23,Nu,20515006,42,23592257,Tăng lương 15%,Nhan vien
Nhan su,NV05286,Linh Le,1978-04-29,Nam,19974789,47,22971007,Tăng lương 15%,Nhan vien
Ke toan,NV05287,Anh Bui,1992-02-10,Nam,6755589,33,7768927,Tăng lương 15%,Nhan vien
Ke toan,NV05288,Quy co Nhat Duong,1972-08-12,Nu,20411440,52,23473156,Tăng lương 15%,Nhan vien
Ke toan,NV05289,Yen Vu,1991-04-02,Nam,21649365,34,24896770,Tăng lương 15%,Nhan vien
Nhan su,NV05290,Ha Duc Pham,1971-06-11,Nam,23531034,54,27060689,Tăng lương 15%,Nhan vien
Kinh doanh,NV05291,Ngoc Dang,1975-06-15,Nam,19127919,50,21997107,Tăng lương 15%,Nhan vien
Marketing,NV05292,Quy co Nhat Tran,2000-08-18,Nam,23682727,24,23682727,Không tăng lương,Nhan vien
Marketing,NV05293,Chau Van Bui,1978-09-18,Nu,11026785,46,12680803,Tăng lương 15%,Nhan vien
Ky thuat,NV05294,Co Hai Duong,2002-12-01,Nu,11231601,22,11231601,Không tăng lương,Nhan vien
Kinh doanh,NV05295,Quy co Vi Tran,1986-05-29,Nu,24030987,39,27635635,Tăng lương 15%,Nhan vien
Marketing,NV05296,Ong Quang Dang,2000-11-01,Nam,23155333,24,23155333,Không tăng lương,Nhan vien
Ky thuat,NV05297,Chi Hanh Bui,1976-09-19,Nu,23031331,48,26486031,Tăng lương 15%,Nhan vien
Marketing,NV05298,Quy ong Hung Hoang,2001-02-17,Nu,24647301,24,24647301,Không tăng lương,Nhan vien
Ke toan,NV05299,Co Linh Nguyen,1998-10-11,Nam,20625454,26,20625454,Không tăng lương,Nhan vien
Ke toan,NV05300,Xuan Hoang,1965-05-14,Nam,21468889,60,24689222,Tăng lương 15%,Nhan vien
Ky thuat,NV05301,Hoang Le,1984-12-27,Nu,14080194,40,16192223,Tăng lương 15%,Nhan vien
Kinh doanh,NV05302,Ba Vi Le,1996-05-05,Nu,24245298,29,24245298,Không tăng lương,Nhan vien
Ky thuat,NV05303,Huy The Mai,1980-12-08,Nam,17158586,44,19732374,Tăng lương 15%,Nhan vien
Marketing,NV05304,Hoang Huu Vu,1993-10-30,Nam,29984200,31,34481830,Tăng lương 15%,Quan ly
Ke toan,NV05305,Chi Duong Hoang,1998-07-25,Nu,13920538,26,13920538,Không tăng lương,Nhan vien
Marketing,NV05306,Ba Ha Pham,1977-05-08,Nam,10132250,48,11652088,Tăng lương 15%,Nhan vien
Kinh doanh,NV05307,Quy ong Vu Duong,1970-04-10,Nam,25290929,55,29084568,Tăng lương 15%,Nhan vien
Marketing,NV05308,Trung Mai Mai,1969-07-23,Nam,8649674,55,9947125,Tăng lương 15%,Nhan vien
Nhan su,NV05309,Chi Hong Dang,1969-08-14,Nu,7177825,55,8254499,Tăng lương 15%,Nhan vien
Marketing,NV05310,Nhat Huu Duong,2000-10-07,Nam,9859631,24,9859631,Không tăng lương,Nhan vien
Ke toan,NV05311,Tung Huu Pham,1966-01-13,Nam,10143588,59,11665126,Tăng lương 15%,Nhan vien
Marketing,NV05312,Bac Tu Dang,2003-03-13,Nu,15441265,22,15441265,Không tăng lương,Nhan vien
Ky thuat,NV05313,An Phu Mai,1981-08-14,Nu,19095807,43,21960178,Tăng lương 15%,Nhan vien
Nhan su,NV05314,Lam Le,1992-05-20,Nam,6181953,33,7109246,Tăng lương 15%,Nhan vien
Kinh doanh,NV05315,Khoa Huu Nguyen,1975-02-24,Nam,17977784,50,20674452,Tăng lương 15%,Nhan vien
Ky thuat,NV05316,Kim Mai Bao Nguyen,1975-12-06,Nam,7527842,49,8657018,Tăng lương 15%,Nhan vien
Kinh doanh,NV05317,Huong Dang,1979-12-26,Nu,16225537,45,18659368,Tăng lương 15%,Nhan vien
Ky thuat,NV05318,Co Yen Nguyen,2002-06-29,Nam,22421647,22,22421647,Không tăng lương,Nhan vien
Nhan su,NV05319,Hanh Hai Bui,1972-04-29,Nu,28530364,53,32809919,Tăng lương 15%,Nhan vien
Ky thuat,NV05320,Co Xuan Hoang,1997-03-01,Nam,17185417,28,17185417,Không tăng lương,Nhan vien
Nhan su,NV05321,An Vu,1980-12-29,Nu,26489719,44,30463177,Tăng lương 15%,Nhan vien
Ke toan,NV05322,An Duc Le,2002-03-25,Nu,28286629,23,28286629,Không tăng lương,Nhan vien
Marketing,NV05323,Bac Tung Dang,1980-10-09,Nu,22043580,44,25350117,Tăng lương 15%,Nhan vien
Kinh doanh,NV05324,Thanh Tran,1990-08-18,Nam,8405769,34,9666634,Tăng lương 15%,Nhan vien
Ky thuat,NV05325,Thanh Bui,1999-02-15,Nu,24768367,26,24768367,Không tăng lương,Nhan vien
Ke toan,NV05326,Co Hong Pham,1971-08-30,Nu,27166529,53,31241508,Tăng lương 15%,Nhan vien
Nhan su,NV05327,Bao Tran,1988-04-28,Nam,10322088,37,11870401,Tăng lương 15%,Nhan vien
Ke toan,NV05328,Tu Pham,1996-03-13,Nu,23214967,29,23214967,Không tăng lương,Nhan vien
Nhan su,NV05329,Kim Bao Hoang,1967-11-22,Nam,20692947,57,23796889,Tăng lương 15%,Nhan vien
Kinh doanh,NV05330,Dung Le,1985-06-15,Nu,20486616,40,23559608,Tăng lương 15%,Nhan vien
Marketing,NV05331,Lam Thi Nguyen,1984-01-15,Nam,5812878,41,6684810,Tăng lương 15%,Nhan vien
Ke toan,NV05332,Anh Quang Bui,1997-05-14,Nu,9141237,28,9141237,Không tăng lương,Nhan vien
Kinh doanh,NV05333,Quy co Linh Le,1980-05-05,Nam,13946519,45,16038497,Tăng lương 15%,Nhan vien
Ke toan,NV05334,Thao Tran,1985-03-29,Nu,24120312,40,27738359,Tăng lương 15%,Nhan vien
Nhan su,NV05335,Chau Mai Bao Le,1979-06-01,Nam,9054850,46,10413078,Tăng lương 15%,Nhan vien
Kinh doanh,NV05336,Co Khoa Dang,1966-12-16,Nu,21585723,58,24823581,Tăng lương 15%,Nhan vien
Ke toan,NV05337,Ha Vu,1999-05-23,Nu,13960335,26,13960335,Không tăng lương,Nhan vien
Ke toan,NV05338,Quy ong Tung Duong,1986-01-06,Nam,22130565,39,25450150,Tăng lương 15%,Nhan vien
Marketing,NV05339,Duyen Bui,2003-02-28,Nu,8970120,22,8970120,Không tăng lương,Nhan vien
Ky thuat,NV05340,Chau Tri Tran,1964-06-28,Nu,8475044,60,9746301,Tăng lương 15%,Nhan vien
Nhan su,NV05341,Hanh Thi Hoang,1979-10-28,Nam,23365274,45,26870065,Tăng lương 15%,Nhan vien
Marketing,NV05342,Hung Dang,1984-06-14,Nu,15448263,41,17765502,Tăng lương 15%,Nhan vien
Nhan su,NV05343,Ba Nhat Tran,1989-02-27,Nam,20701360,36,23806564,Tăng lương 15%,Nhan vien
Ke toan,NV05344,Nhien Quang Hoang,1984-05-15,Nam,19928321,41,22917569,Tăng lương 15%,Nhan vien
Ky thuat,NV05345,Ha Hoang,2002-04-16,Nu,29992957,23,29992957,Không tăng lương,Giam doc
Kinh doanh,NV05346,Hai Bui,1997-03-10,Nam,24833352,28,24833352,Không tăng lương,Nhan vien
Ke toan,NV05347,Quy ong Nhien Le,1983-04-30,Nu,25271179,42,29061856,Tăng lương 15%,Nhan vien
Ke toan,NV05348,Hanh Dang,1972-03-11,Nu,29706732,53,34162742,Tăng lương 15%,Nhan vien
Kinh doanh,NV05349,Hai Hoang Mai,1996-09-27,Nam,11518912,28,11518912,Không tăng lương,Nhan vien
Nhan su,NV05350,Kim Hoang Bui,1979-05-13,Nam,22554326,46,25937475,Tăng lương 15%,Nhan vien
Ky thuat,NV05351,Quy ong Dung Hoang,1987-04-07,Nam,6868657,38,7898956,Tăng lương 15%,Nhan vien
Kinh doanh,NV05352,Lam The Hoang,1982-06-11,Nam,20944654,43,24086352,Tăng lương 15%,Nhan vien
Marketing,NV05353,Anh Khoa Dang,1977-05-11,Nam,28111888,48,32328671,Tăng lương 15%,Nhan vien
Ky thuat,NV05354,Chi Bui,1975-09-26,Nam,13296251,49,15290689,Tăng lương 15%,Nhan vien
Ky thuat,NV05355,Yen Dang,2002-12-25,Nu,15881166,22,15881166,Không tăng lương,Nhan vien
Marketing,NV05356,Nhat Dang,1980-06-24,Nam,12219654,45,14052602,Tăng lương 15%,Nhan vien
Ke toan,NV05357,Chi Nhat Dang,1989-07-03,Nu,14713377,35,16920384,Tăng lương 15%,Nhan vien
Ke toan,NV05358,Tung Tran,1995-02-28,Nam,23213626,30,23213626,Không tăng lương,Nhan vien
Kinh doanh,NV05359,Kim Dang,1965-11-28,Nu,28504777,59,32780494,Tăng lương 15%,Nhan vien
Ky thuat,NV05360,Co An Pham,1995-09-25,Nam,29943121,29,29943121,Không tăng lương,Quan ly
Nhan su,NV05361,Anh Hoang Mai,1983-04-16,Nu,8396151,42,9655574,Tăng lương 15%,Nhan vien
Ky thuat,NV05362,Chau Pham,1994-10-30,Nu,19879421,30,19879421,Không tăng lương,Nhan vien
Ky thuat,NV05363,Quy co Thanh Mai,1974-12-04,Nam,26685508,50,30688334,Tăng lương 15%,Nhan vien
Ky thuat,NV05364,Chi Chi Bui,1983-12-05,Nam,23861092,41,27440256,Tăng lương 15%,Nhan vien
Marketing,NV05365,Chi Chi Nguyen,1969-11-01,Nam,25153585,55,28926623,Tăng lương 15%,Nhan vien
Ky thuat,NV05366,Nhien Quang Mai,1999-07-27,Nu,19792439,25,19792439,Không tăng lương,Nhan vien
Marketing,NV05367,Anh Khoa Hoang,1965-07-17,Nam,10496213,59,12070645,Tăng lương 15%,Nhan vien
Nhan su,NV05368,Khoa Pham,1989-11-20,Nu,12647374,35,14544480,Tăng lương 15%,Nhan vien
Nhan su,NV05369,Quang Thi Tran,1994-01-14,Nam,16235662,31,18671011,Tăng lương 15%,Nhan vien
Ke toan,NV05370,Minh Mai Hoang,2000-02-29,Nam,20780278,25,20780278,Không tăng lương,Nhan vien
Ke toan,NV05371,Linh Mai,1994-09-15,Nam,6192266,30,6192266,Không tăng lương,Nhan vien
Ky thuat,NV05372,Minh Hai Pham,2003-02-13,Nu,29819361,22,29819361,Không tăng lương,Nhan vien
Ky thuat,NV05373,Chi Ngoc Duong,1979-12-04,Nam,13321042,45,15319198,Tăng lương 15%,Nhan vien
Kinh doanh,NV05374,Co Phuong Nguyen,1968-02-01,Nam,26636192,57,30631621,Tăng lương 15%,Nhan vien
Ke toan,NV05375,Dung Le,1974-08-01,Nu,15758181,50,18121908,Tăng lương 15%,Nhan vien
Ke toan,NV05376,Huong Le,1993-12-30,Nu,17194367,31,19773522,Tăng lương 15%,Nhan vien
Ke toan,NV05377,Trong Pham,1997-10-13,Nu,8800915,27,8800915,Không tăng lương,Nhan vien
Ky thuat,NV05378,Ba Hong Nguyen,1991-02-01,Nu,24094179,34,27708306,Tăng lương 15%,Nhan vien
Kinh doanh,NV05379,Thanh Hoang,1964-09-02,Nu,21816159,60,25088583,Tăng lương 15%,Nhan vien
Kinh doanh,NV05380,Vu Dang,2001-04-17,Nu,12746427,24,12746427,Không tăng lương,Nhan vien
Marketing,NV05381,Chau Tan Pham,2000-02-19,Nam,21998795,25,21998795,Không tăng lương,Nhan vien
Ke toan,NV05382,Ba Khoa Pham,1992-08-16,Nu,12402218,32,14262551,Tăng lương 15%,Nhan vien
Marketing,NV05383,Ong Phuc Duong,1991-09-30,Nam,21050367,33,24207922,Tăng lương 15%,Nhan vien
Marketing,NV05384,Bac Phuc Nguyen,1982-11-20,Nam,12704272,42,14609913,Tăng lương 15%,Nhan vien
Ke toan,NV05385,Khoa Dang,1991-10-27,Nam,24091046,33,27704703,Tăng lương 15%,Nhan vien
Marketing,NV05386,Bao Mai Tran,1979-03-18,Nu,12566996,46,14452045,Tăng lương 15%,Nhan vien
Nhan su,NV05387,Ba Thao Pham,1980-08-29,Nu,25778543,44,29645324,Tăng lương 15%,Nhan vien
Ke toan,NV05388,Nhat Nguyen,2000-09-21,Nu,12747408,24,12747408,Không tăng lương,Nhan vien
Ke toan,NV05389,Quy co Mai Tran,1983-05-28,Nu,6728594,42,7737883,Tăng lương 15%,Nhan vien
Ke toan,NV05390,Chi Ngoc Vu,1975-05-19,Nam,23911527,50,27498256,Tăng lương 15%,Nhan vien
Ke toan,NV05391,Ong Tung Nguyen,1989-12-01,Nu,9894781,35,11378998,Tăng lương 15%,Nhan vien
Ky thuat,NV05392,Ba Nhat Vu,1989-06-23,Nam,7513564,36,8640599,Tăng lương 15%,Nhan vien
Ke toan,NV05393,Hoang Dang,1980-07-10,Nam,5960698,44,6854803,Tăng lương 15%,Nhan vien
Nhan su,NV05394,Chi Bao Duong,1985-07-14,Nu,21597083,39,24836645,Tăng lương 15%,Nhan vien
Nhan su,NV05395,Chi Linh Hoang,1995-08-03,Nam,18580299,29,18580299,Không tăng lương,Nhan vien
Marketing,NV05396,Chi Nhat Le,1994-04-08,Nam,20581481,31,23668703,Tăng lương 15%,Nhan vien
Ke toan,NV05397,Quy ong Nhien Vu,1976-03-23,Nu,7444164,49,8560789,Tăng lương 15%,Nhan vien
Ky thuat,NV05398,Quy ong Huy Pham,1979-10-03,Nu,5330157,45,6129681,Tăng lương 15%,Nhan vien
Ke toan,NV05399,Khoa Quang Hoang,1989-12-11,Nu,17749470,35,20411890,Tăng lương 15%,Nhan vien
Nhan su,NV05400,Quy co Kim Vu,1981-12-19,Nam,22022172,43,25325498,Tăng lương 15%,Nhan vien
Marketing,NV05401,Nam Van Hoang,1964-09-07,Nu,11741752,60,13503015,Tăng lương 15%,Nhan vien
Ke toan,NV05402,Chi Van Bui,1972-07-14,Nam,9975257,52,11471546,Tăng lương 15%,Nhan vien
Kinh doanh,NV05403,Xuan Hoang,1972-11-10,Nam,14412046,52,16573853,Tăng lương 15%,Nhan vien
Nhan su,NV05404,Co Nhat Nguyen,1991-04-03,Nam,8947259,34,10289348,Tăng lương 15%,Nhan vien
Ky thuat,NV05405,Co Thanh Dang,1967-05-09,Nam,26493169,58,30467144,Tăng lương 15%,Nhan vien
Ky thuat,NV05406,Anh Bui,1964-07-30,Nam,25545054,60,29376812,Tăng lương 15%,Nhan vien
Nhan su,NV05407,Co Van Hoang,1999-04-21,Nu,20650425,26,20650425,Không tăng lương,Nhan vien
Kinh doanh,NV05408,Lam Huu Pham,1969-01-30,Nam,11666169,56,13416094,Tăng lương 15%,Nhan vien
Nhan su,NV05409,Quang Hai Nguyen,1966-10-11,Nu,14863482,58,17093004,Tăng lương 15%,Nhan vien
Marketing,NV05410,Chi Kim Vu,1973-04-18,Nu,23152243,52,26625079,Tăng lương 15%,Nhan vien
Ke toan,NV05411,Co Khoa Pham,1974-11-20,Nam,16855294,50,19383588,Tăng lương 15%,Nhan vien
Ke toan,NV05412,Hai Bui,1987-02-16,Nam,15277520,38,17569148,Tăng lương 15%,Nhan vien
Ky thuat,NV05413,Co Mai Vu,1978-04-12,Nu,23746529,47,27308508,Tăng lương 15%,Nhan vien
Kinh doanh,NV05414,Bac Chau Bui,1973-05-19,Nam,8254591,52,9492780,Tăng lương 15%,Nhan vien
Nhan su,NV05415,Lam Duc Vu,1973-02-08,Nam,7034297,52,8089442,Tăng lương 15%,Nhan vien
Ke toan,NV05416,Ha Xuan Nguyen,1965-12-30,Nu,27794573,59,31963759,Tăng lương 15%,Nhan vien
Nhan su,NV05417,Trung Duong,1994-04-13,Nam,26883850,31,30916427,Tăng lương 15%,Nhan vien
Nhan su,NV05418,Ong Thanh Mai,1980-09-24,Nam,5357942,44,6161633,Tăng lương 15%,Nhan vien
Nhan su,NV05419,Co An Duong,1980-07-04,Nam,7937516,44,9128143,Tăng lương 15%,Nhan vien
Marketing,NV05420,Ong Phuc Dang,1989-06-17,Nam,19861682,36,22840934,Tăng lương 15%,Nhan vien
Marketing,NV05421,Tu Le,1988-01-29,Nam,7408635,37,8519930,Tăng lương 15%,Nhan vien
Ke toan,NV05422,Phuong Hai Vu,1993-06-30,Nam,15934180,31,18324307,Tăng lương 15%,Nhan vien
Kinh doanh,NV05423,Hong Le,1989-12-27,Nu,8629120,35,9923488,Tăng lương 15%,Nhan vien
Kinh doanh,NV05424,Nhien Mai Bao Mai,1993-02-04,Nam,27806933,32,31977973,Tăng lương 15%,Nhan vien
Nhan su,NV05425,Ba An Dang,1964-07-11,Nam,14353736,60,16506796,Tăng lương 15%,Nhan vien
Ky thuat,NV05426,Co Ha Pham,1965-01-02,Nu,19725125,60,22683894,Tăng lương 15%,Nhan vien
Nhan su,NV05427,Nhat Le,1984-06-06,Nu,20455549,41,23523881,Tăng lương 15%,Nhan vien
Kinh doanh,NV05428,Yen Dang,1965-06-03,Nam,15853964,60,18232059,Tăng lương 15%,Nhan vien
Kinh doanh,NV05429,Tung Vu,1964-08-19,Nu,10911030,60,12547684,Tăng lương 15%,Nhan vien
Ke toan,NV05430,Quy ong Thanh Bui,2001-04-21,Nam,28209301,24,28209301,Không tăng lương,Nhan vien
Marketing,NV05431,Trung Pham,1978-09-06,Nu,28637060,46,32932619,Tăng lương 15%,Nhan vien
Ke toan,NV05432,Co Hai Duong,1965-01-19,Nam,17260636,60,19849731,Tăng lương 15%,Nhan vien
Nhan su,NV05433,Chi Phuong Mai,1972-04-10,Nam,21850783,53,25128400,Tăng lương 15%,Nhan vien
Marketing,NV05434,Quy co Vi Mai,1973-02-20,Nam,20507924,52,23584113,Tăng lương 15%,Nhan vien
Ky thuat,NV05435,Duong Mai,1969-06-16,Nu,28354514,56,32607691,Tăng lương 15%,Nhan vien
Kinh doanh,NV05436,Lam Bao Dang,1996-03-08,Nam,21625531,29,21625531,Không tăng lương,Nhan vien
Ke toan,NV05437,Ba Chi Le,1967-10-10,Nu,16811109,57,19332775,Tăng lương 15%,Nhan vien
Kinh doanh,NV05438,Ba Xuan Duong,1969-08-01,Nam,22975271,55,26421562,Tăng lương 15%,Nhan vien
Ky thuat,NV05439,Hoang Dang,1984-06-14,Nam,13711195,41,15767874,Tăng lương 15%,Nhan vien
Ke toan,NV05440,Van Dang,1972-05-27,Nu,28985007,53,33332758,Tăng lương 15%,Nhan vien
Marketing,NV05441,Nhien Duc Bui,1988-03-28,Nam,16352874,37,18805805,Tăng lương 15%,Nhan vien
Nhan su,NV05442,Quy ong Huy Dang,2002-04-08,Nam,7171335,23,7171335,Không tăng lương,Nhan vien
Ke toan,NV05443,Ba Thao Mai,1967-03-20,Nu,29569334,58,34004734,Tăng lương 15%,Nhan vien
Nhan su,NV05444,Ba Hanh Tran,1971-09-13,Nu,26594502,53,30583677,Tăng lương 15%,Nhan vien
Nhan su,NV05445,Thanh Bao Le,1974-09-13,Nam,15069859,50,17330338,Tăng lương 15%,Nhan vien
Nhan su,NV05446,Co Ngoc Duong,1995-11-06,Nam,12427712,29,12427712,Không tăng lương,Nhan vien
Ke toan,NV05447,Yen Duong,1996-01-05,Nu,17746563,29,17746563,Không tăng lương,Nhan vien
Marketing,NV05448,Chi Van Bui,1965-05-21,Nam,5233231,60,6018216,Tăng lương 15%,Nhan vien
Marketing,NV05449,Nhat Thi Tran,1980-06-13,Nu,24771289,45,28486982,Tăng lương 15%,Nhan vien
Kinh doanh,NV05450,Ba Phuong Duong,1988-01-09,Nu,15747367,37,18109472,Tăng lương 15%,Nhan vien
Nhan su,NV05451,Mai Hoang,1997-07-22,Nu,21031224,27,21031224,Không tăng lương,Nhan vien
Marketing,NV05452,Ba Hai Nguyen,1989-09-12,Nam,6782433,35,7799798,Tăng lương 15%,Nhan vien
Marketing,NV05453,Hai Mai,1994-11-01,Nam,10326475,30,10326475,Không tăng lương,Nhan vien
Nhan su,NV05454,Quy co Yen Dang,1977-08-04,Nu,8522417,47,9800780,Tăng lương 15%,Nhan vien
Nhan su,NV05455,Hong Mai,1988-03-07,Nam,18577134,37,21363704,Tăng lương 15%,Nhan vien
Kinh doanh,NV05456,Quy co An Duong,1985-09-19,Nu,12140399,39,13961459,Tăng lương 15%,Nhan vien
Marketing,NV05457,Quy ong Tu Nguyen,1979-09-12,Nu,27972394,45,32168253,Tăng lương 15%,Nhan vien
Marketing,NV05458,Ba Thanh Tran,1992-07-17,Nam,27281574,32,31373810,Tăng lương 15%,Nhan vien
Ky thuat,NV05459,Duyen Nguyen,2000-08-25,Nam,26800913,24,26800913,Không tăng lương,Nhan vien
Nhan su,NV05460,Lan Nguyen,1990-02-26,Nam,27029123,35,31083491,Tăng lương 15%,Nhan vien
Ke toan,NV05461,Lan Bui,1988-09-29,Nam,17169268,36,19744658,Tăng lương 15%,Nhan vien
Nhan su,NV05462,Kim Van Vu,1973-06-26,Nam,22815922,52,26238310,Tăng lương 15%,Nhan vien
Ke toan,NV05463,Chi Nhat Nguyen,1972-01-23,Nu,26379654,53,30336602,Tăng lương 15%,Nhan vien
Ky thuat,NV05464,Lan Dang,1976-12-22,Nu,9935981,48,11426378,Tăng lương 15%,Nhan vien
Ke toan,NV05465,Kim Mai Vu,1997-10-11,Nu,22508548,27,22508548,Không tăng lương,Nhan vien
Nhan su,NV05466,Phuong Duong,1986-05-02,Nu,14386200,39,16544130,Tăng lương 15%,Nhan vien
Ke toan,NV05467,Chi Hai Duong,1982-03-05,Nu,16330322,43,18779870,Tăng lương 15%,Nhan vien
Ky thuat,NV05468,Minh Tan Pham,1979-05-14,Nu,15019431,46,17272346,Tăng lương 15%,Nhan vien
Ky thuat,NV05469,Nam Duong,1999-01-16,Nu,23348680,26,23348680,Không tăng lương,Nhan vien
Kinh doanh,NV05470,Thanh Tri Vu,1969-04-10,Nam,8636989,56,9932537,Tăng lương 15%,Nhan vien
Nhan su,NV05471,Lam Tan Bui,1975-11-07,Nu,22697034,49,26101589,Tăng lương 15%,Nhan vien
Marketing,NV05472,Co Thanh Le,1998-08-04,Nu,9209880,26,9209880,Không tăng lương,Nhan vien
Kinh doanh,NV05473,Ba Duong Nguyen,1967-03-26,Nam,20110123,58,23126641,Tăng lương 15%,Nhan vien
Marketing,NV05474,Bac Trung Tran,1988-12-13,Nu,23446738,36,26963749,Tăng lương 15%,Nhan vien
Nhan su,NV05475,Quy co Huong Mai,2000-06-13,Nu,15392940,25,15392940,Không tăng lương,Nhan vien
Nhan su,NV05476,Vi Nguyen,1971-03-23,Nam,24542800,54,28224220,Tăng lương 15%,Nhan vien
Marketing,NV05477,Quy co Kim Nguyen,1977-07-30,Nam,24175067,47,27801327,Tăng lương 15%,Nhan vien
Nhan su,NV05478,Vi Vu,1975-10-15,Nam,18082259,49,20794598,Tăng lương 15%,Nhan vien
Nhan su,NV05479,Nhat Huu Dang,1983-05-21,Nam,19027002,42,21881052,Tăng lương 15%,Nhan vien
Marketing,NV05480,Quy co Hanh Tran,1999-10-03,Nu,16724751,25,16724751,Không tăng lương,Nhan vien
Ky thuat,NV05481,Bac Chau Nguyen,1975-10-18,Nu,14891430,49,17125144,Tăng lương 15%,Nhan vien
Ke toan,NV05482,Ba Huong Mai,1995-12-19,Nu,9168558,29,9168558,Không tăng lương,Nhan vien
Ke toan,NV05483,Ba Nhat Dang,1983-02-02,Nam,10408838,42,11970164,Tăng lương 15%,Nhan vien
Nhan su,NV05484,Minh Tri Duong,1997-07-08,Nam,5308771,27,5308771,Không tăng lương,Nhan vien
Marketing,NV05485,Mai Tran,1967-01-11,Nu,18799440,58,21619356,Tăng lương 15%,Nhan vien
Nhan su,NV05486,Ba Lam Tran,1984-11-03,Nu,24853477,40,28581499,Tăng lương 15%,Nhan vien
Marketing,NV05487,Thanh Bao Hoang,1969-06-03,Nam,6965005,56,8009756,Tăng lương 15%,Nhan vien
Ky thuat,NV05488,Quang Duong,1980-02-06,Nam,9334738,45,10734949,Tăng lương 15%,Nhan vien
Kinh doanh,NV05489,Nam Tri Mai,1976-11-27,Nam,16028562,48,18432846,Tăng lương 15%,Nhan vien
Marketing,NV05490,Hung Tan Dang,1968-08-04,Nu,11084507,56,12747183,Tăng lương 15%,Nhan vien
Marketing,NV05491,Quang Nguyen,1978-08-21,Nu,25885367,46,29768172,Tăng lương 15%,Nhan vien
Marketing,NV05492,Co Kim Le,1997-11-16,Nu,11142857,27,11142857,Không tăng lương,Nhan vien
Kinh doanh,NV05493,Nam Tran,1985-10-21,Nam,8146332,39,9368282,Tăng lương 15%,Nhan vien
Ke toan,NV05494,Anh Anh Hoang,1964-09-06,Nu,20207595,60,23238734,Tăng lương 15%,Nhan vien
Ky thuat,NV05495,Hai Tri Pham,1977-05-17,Nam,6131346,48,7051048,Tăng lương 15%,Nhan vien
Ky thuat,NV05496,Anh Mai,1989-11-08,Nam,19865799,35,22845669,Tăng lương 15%,Nhan vien
Ky thuat,NV05497,Bao Hoang,1997-04-16,Nu,25489857,28,25489857,Không tăng lương,Nhan vien
Ke toan,NV05498,Thanh Huu Nguyen,2002-03-06,Nam,12251825,23,12251825,Không tăng lương,Nhan vien
Kinh doanh,NV05499,Quy co Hanh Vu,2001-03-15,Nam,5714891,24,5714891,Không tăng lương,Nhan vien
Nhan su,NV05500,Ba Xuan Le,1972-09-24,Nu,12544165,52,14425790,Tăng lương 15%,Nhan vien
Nhan su,NV05501,Anh Trong Pham,1989-11-02,Nu,5161729,35,5935988,Tăng lương 15%,Nhan vien
Ke toan,NV05502,Vu Hai Nguyen,1999-10-02,Nam,29158571,25,29158571,Không tăng lương,Nhan vien
Kinh doanh,NV05503,Bac Dung Mai,1989-01-30,Nam,23401267,36,26911457,Tăng lương 15%,Nhan vien
Ke toan,NV05504,Minh Nguyen,1987-10-01,Nam,21322524,37,24520903,Tăng lương 15%,Nhan vien
Ky thuat,NV05505,Chi Yen Le,1980-11-14,Nu,27708485,44,31864758,Tăng lương 15%,Nhan vien
Ke toan,NV05506,Co An Pham,1986-02-28,Nam,23359309,39,26863205,Tăng lương 15%,Nhan vien
Ke toan,NV05507,Hung Phu Bui,1996-10-18,Nam,7286871,28,7286871,Không tăng lương,Nhan vien
Kinh doanh,NV05508,Chi Duong,1968-06-23,Nu,15555299,57,17888594,Tăng lương 15%,Nhan vien
Ky thuat,NV05509,Lam Dang,1967-05-08,Nam,26373151,58,30329124,Tăng lương 15%,Nhan vien
Ke toan,NV05510,Minh Mai,2002-06-02,Nu,5982738,23,5982738,Không tăng lương,Nhan vien
Marketing,NV05511,Bac Anh Hoang,2001-06-11,Nam,22314096,24,22314096,Không tăng lương,Nhan vien
Kinh doanh,NV05512,Chi Yen Nguyen,1981-10-06,Nam,8762444,43,10076811,Tăng lương 15%,Nhan vien
Nhan su,NV05513,Ngoc Mai,1971-05-08,Nu,18682628,54,21485022,Tăng lương 15%,Nhan vien
Ky thuat,NV05514,Chi Hanh Mai,2003-03-12,Nu,27669345,22,27669345,Không tăng lương,Nhan vien
Ke toan,NV05515,Ha Van Nguyen,1987-03-03,Nu,28312614,38,32559506,Tăng lương 15%,Nhan vien
Marketing,NV05516,Huy The Mai,1978-08-13,Nam,20613787,46,23705855,Tăng lương 15%,Nhan vien
Ke toan,NV05517,Khoa Mai Bao Nguyen,1993-08-11,Nam,5551513,31,6384240,Tăng lương 15%,Nhan vien
Marketing,NV05518,Lam Bao Dang,1971-04-14,Nu,6197816,54,7127488,Tăng lương 15%,Nhan vien
Ky thuat,NV05519,Chau Le,1971-09-26,Nam,13337071,53,15337632,Tăng lương 15%,Nhan vien
Nhan su,NV05520,Quy co Van Vu,1983-08-24,Nam,14975716,41,17222073,Tăng lương 15%,Nhan vien
Marketing,NV05521,Khoa Mai,1969-11-19,Nu,23696455,55,27250923,Tăng lương 15%,Nhan vien
Kinh doanh,NV05522,Ba An Tran,1980-09-15,Nu,17667558,44,20317692,Tăng lương 15%,Nhan vien
